遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,114000280,2025/11/19,34206225,1368249,14983375,3,11,20,28,31
39樂合彩,114000281,2025/11/20,33900100,1356004,14954250,1,5,33,36,38
39樂合彩,114000282,2025/11/21,31377750,1255110,30811125,5,10,17,28,35
39樂合彩,114000283,2025/11/22,35144375,1405775,11981250,10,13,32,33,37
39樂合彩,114000284,2025/11/24,35685200,1427408,12906875,2,4,5,17,31
39樂合彩,114000285,2025/11/25,31277600,1251104,27799000,9,30,36,38,39
39樂合彩,114000286,2025/11/26,34026450,1361058,35367250,7,13,26,28,34
39樂合彩,114000287,2025/11/27,34068625,1362745,13449375,7,19,22,25,28
39樂合彩,114000288,2025/11/28,32027450,1281098,15165875,8,13,14,22,28
39樂合彩,114000289,2025/11/29,35197900,1407916,15029875,8,27,30,33,36
39樂合彩,114000290,2025/12/01,34982425,1399297,23581875,2,3,4,20,24
39樂合彩,114000291,2025/12/02,31292450,1251698,15570875,2,5,8,13,29
39樂合彩,114000292,2025/12/03,33487625,1339505,15001875,5,9,14,33,35
39樂合彩,114000293,2025/12/04,33787350,1351494,24684625,1,7,20,25,37
39樂合彩,114000294,2025/12/05,33055975,1322239,10676125,2,3,16,17,29
39樂合彩,114000295,2025/12/06,35201950,1408078,39622250,6,22,23,24,32
39樂合彩,114000296,2025/12/08,36076200,1443048,27091875,5,23,27,28,31
39樂合彩,114000297,2025/12/09,31932225,1277289,17988375,7,8,15,30,39
39樂合彩,114000298,2025/12/10,36133650,1445346,25972875,4,7,11,16,26
39樂合彩,114000299,2025/12/11,35638400,1425536,16028375,2,6,17,25,26
39樂合彩,114000300,2025/12/12,33120700,1324828,15854500,10,24,26,28,35
39樂合彩,114000301,2025/12/13,34745725,1389829,21816750,2,9,21,31,38
39樂合彩,114000302,2025/12/15,35153575,1406143,15315500,3,17,27,29,38
39樂合彩,114000303,2025/12/16,30801925,1232077,9546750,2,10,14,33,35
39樂合彩,114000304,2025/12/17,33604200,1344168,25258125,5,6,7,19,32
39樂合彩,114000305,2025/12/18,33212350,1328494,12215000,4,9,32,33,36
39樂合彩,114000306,2025/12/19,31412775,1256511,21752750,12,16,23,27,30
39樂合彩,114000307,2025/12/20,34837225,1393489,13212750,1,5,16,35,38
39樂合彩,114000308,2025/12/22,34353000,1374120,16546375,2,22,24,27,38
39樂合彩,114000309,2025/12/23,30577075,1223083,7611500,9,22,24,30,35
39樂合彩,114000310,2025/12/24,33621050,1344842,12819250,2,3,14,25,30
39樂合彩,114000311,2025/12/25,30339725,1213589,18163125,14,18,28,36,39
39樂合彩,114000312,2025/12/26,29467225,1178689,16758375,1,10,20,27,36
39樂合彩,114000313,2025/12/27,32481300,1299252,13022500,1,15,19,28,38
39樂合彩,114000314,2025/12/29,33476150,1339046,45179198,5,10,13,29,37
39樂合彩,114000315,2025/12/30,30372950,1214918,24304250,11,12,24,27,33
39樂合彩,114000316,2025/12/31,34657550,1386302,19871625,8,10,11,26,35
